特征类别,特征名,含义,计算方法
用户生命周期,活跃度等级,用户活跃程度分档,按总行为次数分档：≤372（50%分位）低活，372~1474（50%～90%分位）中活，>1474高活
用户生命周期,连续活跃天数,用户最长连续活跃天数,用户活跃日期序列中最长的连续自然日天数
用户生命周期,流失间隔,距最后一次行为的天数,数据集最后一天 − 用户最后行为日期（天）
行为序列特征,平均行为间隔/小时,用户相邻行为的平均时间间隔,用户按时间排序后相邻行为时间差的平均值（小时）
兴趣特征,交互类目数,用户交互过的类目数量,该用户交互过的不同item_category去重计数
RFM,R,最近一次行为距今天数,数据集最后一天 − 用户最后行为日期
RFM,F,行为频率,用户总行为次数
RFM,M,购买次数（代金额）,用户购买行为（behavior_type=4）次数
RFM,R_score,R的1-5分,按R分位数打分，越小得分越高
RFM,F_score,F的1-5分,按F分位数打分，越大得分越高
RFM,M_score,M的1-5分,按M分位数打分，越大得分越高
RFM,RFM总分,用户价值总分,R_score + F_score + M_score
行为次数,浏览,浏览次数,behavior_type=1的次数
行为次数,收藏,收藏次数,behavior_type=2的次数
行为次数,加购,加购次数,behavior_type=3的次数
行为次数,购买,购买次数,behavior_type=4的次数
转化漏斗,浏览→加购,浏览到加购的转化率,加购次数 / 浏览次数
转化漏斗,加购→收藏,加购到收藏的转化率,收藏次数 / 加购次数
转化漏斗,收藏→购买,收藏到购买的转化率,购买次数 / 收藏次数
偏好特征,偏好强度得分,用户整体偏好强度,浏览×1 + 收藏×2 + 加购×3 + 购买×4
SVD隐式特征,svd_user_0 ~ svd_user_99,用户隐向量（100维）,基于用户-商品交互矩阵（行为加权：购买4/加购3/收藏2/浏览1），TruncatedSVD(k=100)分解
